timestamp_utc,hora_utc,nimble,tavily,exa,nota
2026-07-31T08:10:00+00:00,8,fora,fora,fora,execucao diaria 05h BRT - todos fora
2026-07-31T09:40:00+00:00,9,ok,ok,ok,"voltaram - Tavily leu worldfootball 141k chars, UNICA janela util do dia"
2026-07-31T10:05:00+00:00,10,fora,fora,fora,cairam de novo
2026-07-31T10:50:00+00:00,10,fora,fora,fora,seguem fora
2026-07-31T21:49:00+00:00,21,fora,fora,fora,"fim do dia, seguem fora - jogos ja comecaram"
2026-08-01T06:53:53+00:00,6,fora,fora,fora,checagem pre-execucao diaria 01/08
2026-08-01T08:09:35+00:00,8,fora,fora,fora,execucao diaria 01/08 - todos fora (ToolSearch)
