confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,nota
Athletico-PR x Vitoria,Copa Betano do Brasil,21:00,Betano,1.65,3.90,6.20,"CA TURBINADA - odds promocionais, excluidas do de-vig padrao"
Celtic x Dundee FC,Scottish Premiership (rodada 1),15:30,Betano,1.22,7.40,14.00,
LDU Quito x Delfin SC,Equador LigaPro Serie A,21:00,Betano,1.34,5.20,11.75,
York City x Crawley Town,Inglaterra EFL Cup (fase preliminar),15:30,Betano,1.67,3.90,4.65,
Gremio Prudente SP x Atletico Linense SP,Copa Paulista,19:30,Betano,2.05,3.10,3.55,"sem dado de forma disponivel"
