confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Independiente Rivadavia Mendoza - Estudiantes Rio Cuarto,Liga Profesional,07/08 21:45,Betano,1.47,3.85,8.75,0.663,0.238,0.099,2.5,2.3,1.62,,0.406,0.594,,0.5,1.55,2.42,,0.619,0.381,,,1.09,1.24,2.72,0.651,0.342,0.007,,1.13,5.5,,0.866,0.134,,,2.4,1.53,,0.377,0.623,
CF Tigres UANL - Minnesota United FC,Leagues Cup,07/08 22:00,Betano,2.18,3.65,3.15,0.442,0.258,0.301,2.5,1.78,2.05,,0.538,0.462,,1.5,2.65,1.47,,0.344,0.656,,,1.38,1.29,1.7,0.363,0.449,0.188,,1.6,2.25,,0.593,0.407,,,1.62,2.2,,0.584,0.416,
Juventud Antoniana - CA Alvarado del Plata,Torneo Federal A,07/08 22:00,Betano,1.95,2.8,4.1,0.475,0.317,0.208,1.5,1.6,2.05,,0.573,0.427,,0.5,1.62,1.95,,0.556,0.444,,,1.2,1.35,1.67,0.513,0.334,0.153,,1.36,2.67,,0.692,0.308,,,,,,,,
Deportes Santa Cruz - Puerto Montt,Liga de Ascenso,07/08 21:30,Betano,2.05,3.45,3.45,0.465,0.267,0.267,2.5,2.07,1.7,,0.446,0.554,,0.5,1.47,2.57,,0.651,0.349,,,1.33,1.29,1.8,0.403,0.444,0.153,,1.5,2.47,,0.636,0.364,,,1.9,1.8,,0.485,0.515,
Deportes Quindio - Internacional de Palmira,Categoría Primera B,07/08 21:30,Betano,2.2,3.0,3.3,0.424,0.303,0.273,2.5,2.07,1.6,,0.425,0.575,,0.5,1.47,2.32,,0.632,0.368,,,1.28,1.33,1.65,0.434,0.382,0.184,,1.52,2.22,,0.610,0.390,,,1.82,1.8,,0.497,0.503,
CS Cartagines - Sporting San Jose,Liga FPD,07/08 23:00,Betano,2.05,3.25,3.55,0.462,0.282,0.256,2.5,2.05,1.7,,0.448,0.552,,0.5,1.47,2.5,,0.646,0.354,,,1.3,1.31,1.75,0.425,0.414,0.161,,1.47,2.5,,0.646,0.354,,,1.83,1.87,,0.506,0.494,
Labasa FC - Lautoka FC,Premier League,07/08 23:00,Betano,1.98,3.45,3.15,0.468,0.253,0.279,2.5,1.67,1.95,,0.546,0.454,,1.5,2.35,1.42,,0.350,0.650,,,1.28,1.25,1.67,0.405,0.442,0.153,,1.47,2.32,,0.632,0.368,,,,,,,,
Deportivo Malacateco - CSD Xelaju MC,Liga Nacional,07/08 23:00,Betano,1.82,2.92,5.0,0.519,0.309,0.172,2.5,2.27,1.5,,0.380,0.620,,0.5,1.55,2.15,,0.596,0.404,,,1.16,1.33,1.93,0.573,0.343,0.085,,1.27,3.1,,0.748,0.252,,,2.02,1.62,,0.435,0.565,
Tepatitlan FC - Club Atletico La Paz,Liga de Expansion MX,07/08 22:00,Betano,2.12,3.4,3.05,0.441,0.263,0.296,2.5,1.7,1.93,,0.537,0.463,,1.5,2.45,1.42,,0.342,0.658,,,1.32,1.27,1.67,0.386,0.441,0.173,,1.55,2.15,,0.596,0.404,,,1.57,2.1,,0.585,0.415,
Alacranes de Durango - Piratas de Veracruz FC,Liga de Expansion MX,07/08 22:00,Betano,2.25,3.05,3.15,0.414,0.298,0.288,2.5,1.98,1.65,,0.446,0.554,,0.5,1.45,2.37,,0.642,0.358,,,1.31,1.32,1.62,0.405,0.395,0.199,,1.57,2.12,,0.588,0.412,,,1.75,1.87,,0.519,0.481,
