confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2
Lumshyiap SC - Mawpat,Shillong Second Division,05/08 04:30,Betano,3.35,3.9,1.8,0.260,0.220,0.520
Keflavik IF - KA Akureyri,Urvalsdeild,05/08 15:00,Betano,1.98,4.0,3.1,0.479,0.225,0.296
FH Hafnarfjordur - KR Reykjavik,Urvalsdeild,05/08 16:15,Betano,3.65,4.4,1.72,0.245,0.200,0.555
Hapoel Petah Tikva - Maccabi Netanya,Toto Cup Ligat Al,05/08 13:45,Betano,2.55,3.2,2.62,0.363,0.284,0.353
Hapoel Ramat Gan - Hapoel Jerusalém,Toto Cup Ligat Al,05/08 14:00,Betano,2.18,3.4,3.0,0.430,0.266,0.304
Costa do Sol - Ferroviario Nacala,Mocambola,05/08 09:45,Betano,1.75,3.0,4.9,0.536,0.294,0.170
Podbeskidzie Bielsko-Biala - Hutnik Krakow,Puchar Polski,05/08 11:00,Betano,1.57,3.75,4.75,0.602,0.226,0.173
Podhale Nowy Targ - MKS Chojniczanka Chojnice,Puchar Polski,05/08 11:30,Betano,1.88,3.3,3.65,0.496,0.266,0.238
GKS Olimpia Grudziadz - OKS Swit Skolwin Szczecin,Puchar Polski,05/08 12:00,Betano,2.12,3.2,3.05,0.435,0.275,0.290
Warta Poznan - Resovia Rzeszow,Puchar Polski,05/08 12:30,Betano,1.57,3.85,4.75,0.604,0.221,0.175
Gornik Leczna - KKS 1925 Kalisz,Puchar Polski,05/08 13:00,Betano,1.55,3.85,4.9,0.612,0.220,0.168
Sandecja Nowy Sacz - Rekord Bielsko-Biala,Puchar Polski,05/08 13:00,Betano,2.22,3.15,2.9,0.413,0.280,0.307
GKS Tychy 71 - Zaglebie Sosnowiec,Puchar Polski,05/08 14:00,Betano,1.67,3.7,4.1,0.563,0.231,0.206
Unia Skierniewice - Sokol Kleczew,Puchar Polski,05/08 14:45,Betano,1.55,4.0,4.7,0.612,0.212,0.177
CSA Axiopolis Cernavoda - Agricola Borcea,Copa,05/08 11:30,Betano,4.5,4.4,1.52,0.185,0.190,0.625
Dunarea Giurgiu - Cetatea Turnu Magurele,Copa,05/08 11:30,Betano,5.4,4.25,1.45,0.148,0.195,0.657
ACSO Filiasi - Oltul Curtisoara,Copa,05/08 11:30,Betano,3.75,3.45,1.8,0.229,0.251,0.519
Metalurgistul Cugir - CSM Jiul Petrosani,Copa,05/08 11:30,Betano,2.05,3.4,3.05,0.451,0.258,0.291
Academia de Fotbal Viitorul Cluj - SCM Zalau,Copa,05/08 11:30,Betano,10.75,4.45,1.26,0.062,0.175,0.763
CS Lotus Baile Felix - CS Crisul Santandrei,Copa,05/08 11:30,Betano,2.72,3.45,2.22,0.331,0.255,0.414
CS Sanatatea Cluj - CSM Unirea Alba Iulia,Copa,05/08 11:30,Betano,3.45,3.6,1.83,0.251,0.239,0.509
ACS Cil Blaj - ACS Medias 2022,Copa,05/08 11:30,Betano,4.3,4.15,1.57,0.195,0.203,0.603
Unirea Branistea - CS Sporting Liesti,Copa,05/08 11:30,Betano,2.05,3.65,2.87,0.451,0.238,0.311
AFC Dunarea 2005 Calarasi - ACS Inainte Modelu,Copa,05/08 11:30,Betano,2.35,3.2,2.7,0.389,0.277,0.334
Paulesti - CS Tunari,Copa,05/08 11:30,Betano,7.9,4.15,1.35,0.094,0.196,0.709
CSC Dumbravita - CSM Olimpia Satu Mare,Liga 2,05/08 12:00,Betano,1.57,3.9,5.1,0.609,0.224,0.167
CA Peñarol Montevideo - Montevideo Wanderers,Liga AUF Uruguaya,05/08 20:00,Betano,1.65,3.4,5.1,0.575,0.259,0.166
Lochin FC - FC Yaypan Fergana,Pro Liga,05/08 09:30,Betano,1.65,3.8,4.15,0.571,0.225,0.204
Aral Samali - Pfk Metallurg Bekabad,Pro Liga,05/08 10:00,Betano,1.78,3.4,3.95,0.527,0.256,0.217
Olimpik MobiUZ - FC Jayhun,Pro Liga,05/08 12:00,Betano,1.44,4.15,5.8,0.662,0.200,0.137
Deportivo La Guaira - Metropolitanos FC,Primeira Divisão,05/08 19:30,Betano,1.87,3.25,4.1,0.506,0.278,0.216
