confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
CA Platense - Coquimbo Unido,Copa Libertadores,12/08 19:00,Betano,1.95,3.1,4.65,0.494,0.306,0.200,1.5,1.6,2.35,,0.600,0.400,,0.5,1.65,2.2,,0.576,0.424,,,1.22,1.34,1.9,0.428,0.368,0.203,,1.35,3.05,,0.706,0.294,,,2.35,1.55,,0.390,0.610,
CA Tigre - Montevideo City Torque,Copa Sul-americana,12/08 19:00,Betano,1.85,3.3,4.8,0.521,0.286,0.193,2.5,2.42,1.57,,0.388,0.612,,0.5,1.57,2.35,,0.606,0.394,,,1.21,1.32,1.98,0.434,0.377,0.189,,1.32,3.2,,0.723,0.277,,,2.12,1.67,,0.436,0.564,
Villa Nova AC MG - Democrata SL,Campeonato Mineiro - Modulo II,12/08 19:30,Betano,2.3,2.87,3.05,0.396,0.312,0.292,1.5,1.52,2.2,,0.602,0.398,,0.5,1.55,2.05,,0.579,0.421,,,1.31,1.34,1.5,0.363,0.349,0.288,,1.6,2.07,,0.571,0.429,,,,,,,,
Brasil de Pelotas - CE Gramadense RS,Campeonato Gaúcho - Divisão de Acesso,12/08 19:00,Betano,1.75,3.15,4.45,0.528,0.281,0.191,1.5,1.5,2.25,,0.611,0.389,,0.5,1.53,2.1,,0.589,0.411,,,1.18,1.29,1.85,0.430,0.371,0.199,,1.29,3.0,,0.721,0.279,,,,,,,,
Veranopolis RS - Aimoré,Campeonato Gaúcho - Divisão de Acesso,12/08 19:00,Betano,2.42,2.7,3.1,0.377,0.335,0.288,1.5,1.62,2.02,,0.561,0.439,,0.5,1.62,1.95,,0.552,0.448,,,1.31,1.38,1.45,0.362,0.332,0.305,,1.62,2.02,,0.561,0.439,,,,,,,,
Uniao Frederiquense de Futebol RS - Passo Fundo,Campeonato Gaúcho - Divisão de Acesso,12/08 19:30,Betano,2.82,2.9,2.42,0.317,0.308,0.375,1.5,1.5,2.25,,0.611,0.389,,0.5,1.55,2.07,,0.581,0.419,,,1.45,1.34,1.35,0.306,0.349,0.345,,1.95,1.67,,0.457,0.543,,,,,,,,
Brasil De Farroupilha - Lajeadense RS,Campeonato Gaúcho - Divisão de Acesso,12/08 20:00,Betano,2.37,2.9,2.92,0.384,0.309,0.307,1.5,1.5,2.25,,0.611,0.389,,0.5,1.55,2.07,,0.581,0.419,,,1.33,1.34,1.47,0.353,0.349,0.298,,1.65,2.0,,0.553,0.447,,,,,,,,
Crixas EC - Bom Jesus EC,Campeonato Goiano - Segunda Divisão,12/08 15:30,Betano,3.2,3.05,2.12,0.277,0.292,0.432,2.5,2.12,1.57,,0.417,0.583,,0.5,1.47,2.22,,0.615,0.385,,,1.57,1.31,1.29,0.266,0.362,0.372,,2.22,1.52,,0.396,0.604,,,,,,,,
Gremio Anapolis GO - Tupy GO,Campeonato Goiano - Segunda Divisão,12/08 19:00,Betano,2.4,3.05,2.72,0.378,0.292,0.330,2.5,2.18,1.53,,0.403,0.597,,0.5,1.47,2.22,,0.615,0.385,,,1.37,1.31,1.45,0.335,0.361,0.304,,1.7,1.91,,0.532,0.468,,,,,,,,
Mineiros GO - Rio Verde GO,Campeonato Goiano - Segunda Divisão,12/08 19:30,Betano,3.3,3.0,2.1,0.267,0.297,0.436,2.5,2.2,1.52,,0.398,0.602,,0.5,1.5,2.18,,0.604,0.396,,,1.6,1.32,1.27,0.259,0.359,0.383,,2.27,1.5,,0.387,0.613,,,,,,,,
Goianesia - Morrinhos GO,Campeonato Goiano - Segunda Divisão,12/08 20:00,Betano,1.98,2.95,3.8,0.466,0.304,0.230,1.5,1.53,2.2,,0.600,0.400,,0.5,1.57,2.02,,0.571,0.429,,,1.22,1.33,1.67,0.408,0.353,0.239,,1.39,2.57,,0.665,0.335,,,,,,,,
Madureira - Portuguesa-RJ,Copa Rio,12/08 14:45,Betano,3.3,3.05,2.2,0.276,0.300,0.424,2.5,2.12,1.57,,0.417,0.583,,0.5,1.5,2.27,,0.613,0.387,,,1.65,1.32,1.29,0.252,0.367,0.381,,2.22,1.52,,0.396,0.604,,,1.85,1.75,,0.485,0.515,
Nova Iguaçu - Olaria RJ,Copa Rio,12/08 14:45,Betano,1.78,3.3,4.45,0.528,0.274,0.198,2.5,2.07,1.6,,0.429,0.571,,0.5,1.47,2.32,,0.625,0.375,,,1.18,1.28,2.0,0.439,0.384,0.177,,1.29,2.95,,0.718,0.282,,,1.95,1.67,,0.457,0.543,
Sampaio Correa RJ - Sao Goncalo EC RJ,Copa Rio,12/08 14:45,Betano,1.83,3.35,4.1,0.513,0.270,0.217,2.5,1.91,1.7,,0.468,0.532,,0.5,1.42,2.45,,0.648,0.352,,,1.21,1.28,1.93,0.423,0.386,0.191,,1.33,2.8,,0.697,0.303,,,1.8,1.8,,0.500,0.500,
Boavista-RJ - Marica RJ,Copa Rio,12/08 16:00,Betano,2.37,2.92,3.05,0.390,0.312,0.298,2.5,2.1,1.57,,0.420,0.580,,0.5,1.5,2.27,,0.613,0.387,,,1.32,1.34,1.55,0.365,0.356,0.279,,1.62,2.02,,0.561,0.439,,,1.8,1.8,,0.500,0.500,
FC Copenhagen - Debreceni VSC,Liga Conferência,12/08 13:00,Betano,1.26,5.7,9.75,0.762,0.154,0.083,3.5,2.25,1.6,,0.410,0.590,,1.5,2.25,1.6,,0.410,0.590,,,1.07,1.13,3.95,0.500,0.456,0.044,,1.09,6.7,,0.884,0.116,,,1.98,1.75,,0.467,0.533,
Katowice - Hapoel Tel Aviv FC,Liga Conferência,12/08 13:00,Betano,2.05,3.25,3.65,0.462,0.285,0.252,2.5,2.12,1.67,,0.436,0.564,,0.5,1.5,2.5,,0.633,0.367,,,1.3,1.32,1.8,0.391,0.382,0.227,,1.47,2.57,,0.646,0.354,,,1.88,1.82,,0.491,0.509,
Rapid Viena - Paide Linnameeskond,Liga Conferência,12/08 13:00,Betano,1.13,8.0,17.5,0.854,0.106,0.040,3.5,1.85,1.88,,0.504,0.496,,1.5,1.98,1.78,,0.472,0.528,,,1.025,1.07,6.7,0.512,0.474,0.013,,1.03,10.0,,0.935,0.065,,,2.22,1.6,,0.413,0.587,
Gosport Borough - Hanworth Villa,Southern League - Premier Division South,12/08 15:45,Betano,2.87,3.4,2.25,0.320,0.267,0.414,2.5,1.65,1.98,,0.551,0.449,,1.5,2.4,1.44,,0.361,0.639,,,1.62,1.27,1.4,0.265,0.397,0.338,,2.05,1.62,,0.435,0.565,,,1.55,2.15,,0.590,0.410,
Larkhall Athletic - Weymouth,Southern League - Division One South,12/08 15:45,Betano,3.1,3.6,1.98,0.289,0.245,0.466,2.5,1.55,2.15,,0.590,0.410,,1.5,2.2,1.47,,0.387,0.613,,,1.67,1.24,1.3,0.238,0.396,0.366,,2.27,1.5,,0.387,0.613,,,,,,,,
Rugby Borough - Basford United,Northern League - Division One Midlands,12/08 15:45,Betano,2.37,3.3,2.6,0.384,0.268,0.348,2.5,1.67,1.95,,0.543,0.457,,1.5,2.35,1.42,,0.361,0.639,,,1.4,1.28,1.47,0.324,0.377,0.299,,1.72,1.88,,0.525,0.475,,,,,,,,
Corby Town - Boston Town,Northern League - Division One Midlands,12/08 15:45,Betano,2.1,3.45,2.87,0.435,0.254,0.311,2.5,1.65,1.98,,0.551,0.449,,1.5,2.35,1.42,,0.361,0.639,,,1.34,1.26,1.6,0.351,0.389,0.260,,1.57,2.1,,0.580,0.420,,,,,,,,
Coventry United - Grantham Town,Northern League - Division One Midlands,12/08 15:45,Betano,1.67,3.95,3.9,0.557,0.220,0.223,3.5,2.2,1.52,,0.398,0.602,,1.5,2.12,1.52,,0.407,0.593,,,1.21,1.21,1.98,0.412,0.412,0.175,,1.31,2.87,,0.707,0.293,,,,,,,,
Shifnal Town - Lichfield City,Northern League - Division One West,12/08 15:45,Betano,1.78,3.7,3.6,0.520,0.236,0.244,2.5,1.62,2.02,,0.561,0.439,,1.5,2.3,1.44,,0.370,0.630,,,1.24,1.23,1.85,0.398,0.403,0.200,,1.37,2.65,,0.676,0.324,,,,,,,,
AD Torrejon - AD Union Adarve,Copa RFEF,12/08 15:00,Betano,2.07,3.25,3.35,0.451,0.279,0.270,2.5,1.7,1.9,,0.531,0.469,,1.5,2.47,1.42,,0.350,0.650,,,1.28,1.29,1.72,0.386,0.381,0.234,,1.47,2.32,,0.625,0.375,,,1.57,2.12,,0.583,0.417,
Mexico FC - Las Rozas CF,Copa RFEF,12/08 15:00,Betano,3.2,3.2,2.15,0.284,0.284,0.433,2.5,1.67,1.95,,0.543,0.457,,1.5,2.45,1.42,,0.352,0.648,,,1.67,1.3,1.3,0.247,0.377,0.377,,2.2,1.52,,0.398,0.602,,,1.53,2.18,,0.597,0.403,
Colonia Moscardo - CF Fuenlabrada,Copa RFEF,12/08 15:00,Betano,3.35,3.3,2.05,0.270,0.275,0.455,2.5,1.9,1.72,,0.472,0.528,,0.5,1.42,2.47,,0.650,0.350,,,1.75,1.29,1.27,0.227,0.381,0.391,,2.32,1.47,,0.375,0.625,,,1.75,1.87,,0.518,0.482,
CDA Navalcarnero - Siello,Copa RFEF,12/08 15:00,Betano,1.44,4.35,6.1,0.658,0.203,0.139,2.5,1.67,1.95,,0.543,0.457,,1.5,2.4,1.44,,0.361,0.639,,,1.12,1.18,2.7,0.470,0.432,0.098,,1.16,4.1,,0.809,0.191,,,1.85,1.75,,0.485,0.515,
Bremer SV - 1. FC Phönix Lübeck,Regionalliga Norte,12/08 13:00,Betano,4.1,3.85,1.7,0.216,0.231,0.553,2.5,1.6,2.07,,0.571,0.429,,1.5,2.32,1.47,,0.375,0.625,,,2.07,1.22,1.21,0.166,0.414,0.420,,2.87,1.31,,0.293,0.707,,,1.6,2.07,,0.571,0.429,
Eintracht Norderstedt - Kickers Emden,Regionalliga Norte,12/08 14:00,Betano,3.5,4.0,1.8,0.257,0.222,0.521,3.5,1.82,1.78,,0.494,0.506,,1.5,1.93,1.7,,0.465,0.535,,,1.98,1.21,1.25,0.180,0.421,0.399,,2.57,1.39,,0.335,0.665,,,1.35,2.7,,0.685,0.315,
Forward Madison - Greenville Triumph SC,USL League One,12/08 21:00,Betano,1.78,3.75,3.8,0.527,0.238,0.235,2.5,1.65,2.0,,0.553,0.447,,1.5,2.37,1.45,,0.366,0.634,,,1.23,1.23,1.98,0.410,0.410,0.181,,1.35,2.7,,0.685,0.315,,,1.62,2.05,,0.565,0.435,
