confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Madla - Vindbjart,3. divisjon,08/08 10:00,Betano,1.93,3.9,3.0,0.483,0.221,0.296,3.5,1.72,1.9,,0.529,0.471,,1.5,1.82,1.72,,0.483,0.517,,,1.32,1.22,1.7,0.366,0.487,0.147,,1.5,2.25,,0.618,0.382,,,,,,,,
Ready - Heming,3. divisjon,08/08 08:00,Betano,2.47,3.8,2.27,0.368,0.228,0.404,3.5,1.7,1.93,,0.537,0.463,,1.5,1.78,1.75,,0.495,0.505,,,1.5,1.23,1.42,0.236,0.478,0.286,,1.87,1.75,,0.481,0.519,,,,,,,,
Lokomotiv Oslo - Grei,3. divisjon,08/08 08:00,Betano,2.12,4.3,2.45,0.434,0.197,0.369,4.5,2.02,1.62,,0.435,0.565,,1.5,1.62,1.95,,0.556,0.444,,,1.44,1.19,1.57,0.269,0.534,0.197,,1.7,1.93,,0.537,0.463,,,,,,,,
Bjokelangen - Oppsal IF,3. divisjon,08/08 09:00,Betano,4.75,4.3,1.5,0.173,0.194,0.633,3.5,1.65,1.98,,0.554,0.446,,1.5,1.78,1.75,,0.495,0.505,,,2.27,1.18,1.16,0.024,0.469,0.507,,3.5,1.22,,0.216,0.784,,,,,,,,
Melhus - Orkla,3. divisjon,08/08 09:00,Betano,1.19,6.1,9.25,0.813,0.116,0.071,3.5,1.57,2.12,,0.588,0.412,,1.5,1.7,1.85,,0.526,0.474,,,1.05,1.09,3.2,0.597,0.403,0.000,,1.06,5.9,,0.920,0.080,,,,,,,,
Hinna FK - Flekkeroy,3. divisjon,08/08 10:00,Betano,4.9,4.75,1.44,0.166,0.172,0.662,4.5,2.05,1.62,,0.432,0.568,,1.5,1.62,1.95,,0.556,0.444,,,2.42,1.15,1.15,0.012,0.494,0.494,,3.65,1.2,,0.202,0.798,,,,,,,,
Nordstrand - Frigg,3. divisjon,08/08 08:00,Betano,2.9,4.0,1.95,0.307,0.215,0.477,4.5,2.05,1.6,,0.427,0.573,,1.5,1.65,1.91,,0.544,0.456,,,1.7,1.21,1.33,0.145,0.500,0.355,,2.2,1.52,,0.392,0.608,,,,,,,,
Eastern Suburbs AFC - Fencibles United,Northern League,08/08 00:00,Betano,1.5,4.1,4.9,0.632,0.203,0.166,3.5,2.2,1.53,,0.394,0.606,,1.5,2.12,1.52,,0.400,0.600,,,1.15,1.19,2.25,0.526,0.450,0.024,,1.21,3.55,,0.790,0.210,,,,,,,,
Auckland United FC - Tauranga City United,Northern League,08/08 00:00,Betano,1.3,5.0,7.1,0.739,0.156,0.104,3.5,1.85,1.75,,0.484,0.516,,1.5,1.9,1.65,,0.457,0.543,,,1.08,1.13,2.95,0.579,0.420,0.000,,1.11,4.85,,0.873,0.127,,,,,,,,
Birkenhead United - Manukau United,Northern League,08/08 02:00,Betano,1.06,8.5,21.0,0.925,0.058,0.017,4.5,1.57,2.1,,0.585,0.415,,2.5,2.22,1.47,,0.376,0.624,,,1.01,1.03,4.5,0.681,0.319,0.000,,,,,,,,,,,,,,
Western Springs - Melville United,Northern League,08/08 02:30,Betano,1.6,4.05,4.25,0.592,0.210,0.199,3.5,1.83,1.78,,0.492,0.508,,1.5,1.9,1.65,,0.457,0.543,,,1.19,1.2,2.07,0.484,0.468,0.048,,1.27,3.1,,0.748,0.252,,,,,,,,
Petone FC - Western Suburbs,Central League,08/08 00:15,Betano,3.65,3.75,1.75,0.236,0.229,0.535,3.5,2.05,1.6,,0.427,0.573,,1.5,2.02,1.57,,0.424,0.576,,,1.85,1.23,1.23,0.095,0.453,0.453,,2.67,1.36,,0.308,0.692,,,,,,,,
Island Bay United - Upper Hutt City,Central League,08/08 00:45,Betano,2.05,3.75,2.8,0.451,0.231,0.319,3.5,1.78,1.82,,0.507,0.493,,1.5,1.85,1.7,,0.474,0.526,,,1.35,1.23,1.62,0.343,0.478,0.179,,1.57,2.1,,0.585,0.415,,,,,,,,
Northern AFC - Dunedin City Royals FC,Southern League,08/08 02:00,Betano,2.5,3.6,2.32,0.363,0.243,0.394,3.5,1.91,1.7,,0.466,0.534,,1.5,1.95,1.62,,0.444,0.556,,,1.5,1.24,1.42,0.240,0.469,0.291,,1.87,1.75,,0.481,0.519,,,,,,,,
Nelson Suburbs - Christchurch United,Southern League,08/08 21:00,Betano,1.72,3.9,3.65,0.546,0.219,0.236,3.5,1.82,1.78,,0.493,0.507,,1.5,1.88,1.67,,0.464,0.536,,,1.23,1.21,1.88,0.443,0.473,0.084,,1.35,2.7,,0.697,0.303,,,,,,,,
Plaza Amador - Tauro FC,LPF,08/08 20:15,Betano,1.85,3.6,3.7,0.512,0.248,0.241,2.5,1.8,1.8,,0.500,0.500,,1.5,2.6,1.38,,0.319,0.681,,,1.24,1.25,1.91,0.459,0.445,0.096,,1.38,2.6,,0.681,0.319,,,1.75,1.87,,0.519,0.481,
Sportivo Ameliano - Cerro Porteño,Primeira Divisão,08/08 16:00,Betano,3.7,3.1,2.1,0.248,0.299,0.453,2.5,2.22,1.62,,0.414,0.586,,0.5,1.53,2.4,,0.623,0.377,,,1.75,1.34,1.29,0.166,0.391,0.442,,2.55,1.47,,0.350,0.650,,,1.9,1.8,,0.485,0.515,
2 de Mayo - Olimpia Asunción,Primeira Divisão,08/08 18:30,Betano,4.1,3.35,1.9,0.221,0.275,0.504,2.5,2.05,1.72,,0.452,0.548,,0.5,1.47,2.57,,0.651,0.349,,,1.93,1.3,1.25,0.111,0.416,0.474,,2.87,1.38,,0.305,0.695,,,1.85,1.85,,0.500,0.500,
Deportivo Capiata - Sol de America,Division Intermedia,08/08 10:00,Betano,2.45,3.1,2.8,0.379,0.294,0.328,2.5,2.07,1.6,,0.425,0.575,,0.5,1.47,2.32,,0.632,0.368,,,1.36,1.32,1.53,0.360,0.397,0.243,,1.7,1.93,,0.537,0.463,,,1.82,1.8,,0.497,0.503,
Encarnacion - Guarani Paraguari,Division Intermedia,08/08 10:00,Betano,2.52,3.2,2.65,0.368,0.284,0.348,2.5,2.02,1.62,,0.435,0.565,,0.5,1.45,2.37,,0.642,0.358,,,1.4,1.3,1.5,0.325,0.416,0.258,,1.75,1.85,,0.516,0.484,,,1.8,1.8,,0.500,0.500,
Martin Ledesma - CS Limpeno,Tercera División,08/08 15:00,Betano,1.26,5.5,7.5,0.765,0.138,0.097,3.5,1.75,1.85,,0.516,0.484,,1.5,1.83,1.72,,0.481,0.519,,,1.08,1.11,2.85,0.552,0.447,0.000,,1.09,5.2,,0.891,0.109,,,,,,,,
UTC De Cajamarca - Asociacion Deportiva Tarma,Liga 1,08/08 15:00,Betano,2.15,3.25,3.15,0.435,0.278,0.287,2.5,1.95,1.75,,0.469,0.531,,0.5,1.44,2.6,,0.661,0.339,,,1.35,1.31,1.67,0.383,0.422,0.194,,1.57,2.27,,0.602,0.398,,,1.75,1.95,,0.531,0.469,
ADC Juan Pablo II College - Atletico Grau,Liga 1,08/08 17:30,Betano,2.3,2.95,3.2,0.406,0.310,0.284,2.5,2.0,1.72,,0.458,0.542,,0.5,1.47,2.5,,0.646,0.354,,,1.35,1.35,1.6,0.387,0.387,0.226,,1.6,2.2,,0.589,0.411,,,1.72,2.0,,0.542,0.458,
Club Ada Jaen - Deportivo Llacuabamba,Liga 2,08/08 17:15,Betano,2.32,3.15,2.75,0.394,0.280,0.326,2.5,2.07,1.6,,0.425,0.575,,0.5,1.44,2.3,,0.640,0.360,,,1.36,1.3,1.5,0.347,0.405,0.248,,1.67,1.95,,0.546,0.454,,,,,,,,
Radomiak Radom - Gornik Zabrze,Ekstraklasa,08/08 09:45,Betano,2.87,3.3,2.37,0.324,0.279,0.397,2.5,1.85,1.88,,0.504,0.496,,0.5,1.42,2.75,,0.676,0.324,,,1.6,1.31,1.44,0.236,0.437,0.327,,2.05,1.72,,0.452,0.548,,,1.67,2.07,,0.560,0.440,
MKS Pogon Szczecin - Motor Lublin,Ekstraklasa,08/08 12:30,Betano,2.1,3.55,3.2,0.453,0.258,0.289,2.5,1.6,2.25,,0.593,0.407,,1.5,2.37,1.55,,0.385,0.615,,,1.37,1.28,1.75,0.370,0.459,0.171,,1.55,2.35,,0.614,0.386,,,1.5,2.42,,0.632,0.368,
Korona Kielce - Legia Varsóvia,Ekstraklasa,08/08 15:15,Betano,2.77,3.2,2.52,0.337,0.289,0.373,2.5,2.02,1.75,,0.461,0.539,,0.5,1.47,2.57,,0.651,0.349,,,1.55,1.33,1.47,0.266,0.422,0.312,,1.95,1.8,,0.478,0.522,,,1.78,1.93,,0.523,0.477,
Miedz Legnica - Pogon Grodzisk Mazowiecki,I liga,08/08 10:30,Betano,2.1,3.55,3.15,0.451,0.257,0.292,2.5,1.62,2.15,,0.579,0.421,,1.5,2.42,1.5,,0.368,0.632,,,1.36,1.27,1.72,0.368,0.460,0.172,,1.55,2.3,,0.610,0.390,,,1.55,2.3,,0.610,0.390,
Stal Mielec - ZKS Stal Rzeszow,I liga,08/08 10:30,Betano,1.62,4.2,4.5,0.593,0.211,0.196,3.5,2.02,1.7,,0.451,0.549,,1.5,2.1,1.65,,0.432,0.568,,,1.21,1.21,2.3,0.480,0.480,0.040,,1.28,3.35,,0.752,0.248,,,1.47,2.5,,0.646,0.354,
Podbeskidzie Bielsko-Biala - Lechia Gdansk,I liga,08/08 15:15,Betano,1.27,5.4,9.5,0.766,0.153,0.081,2.5,1.55,2.3,,0.610,0.390,,1.5,2.3,1.55,,0.390,0.610,,,1.07,1.13,3.8,0.601,0.399,0.000,,1.08,6.4,,0.906,0.094,,,2.05,1.7,,0.448,0.552,
Puszcza Niepolomice - Odra Opole,I liga,08/08 10:30,Betano,2.25,3.2,3.05,0.416,0.284,0.300,2.5,2.07,1.67,,0.440,0.560,,0.5,1.47,2.5,,0.646,0.354,,,1.37,1.31,1.65,0.369,0.426,0.205,,1.62,2.18,,0.582,0.418,,,1.83,1.87,,0.506,0.494,
Zawisza Bydgoszcz - Resovia Rzeszow,II Liga,08/08 13:00,Betano,2.12,3.5,3.0,0.442,0.256,0.303,2.5,1.78,1.82,,0.507,0.493,,1.5,2.57,1.39,,0.325,0.675,,,1.33,1.26,1.67,0.376,0.452,0.172,,1.57,2.12,,0.588,0.412,,,1.67,1.95,,0.546,0.454,
Lechia Zielona Góra - Sokol Kleczew,II Liga,08/08 15:00,Betano,1.87,3.6,3.6,0.505,0.247,0.247,2.5,1.72,1.88,,0.526,0.474,,1.5,2.5,1.4,,0.333,0.667,,,1.25,1.25,1.9,0.450,0.450,0.100,,1.39,2.55,,0.674,0.326,,,1.67,1.95,,0.546,0.454,
Rekord Bielsko-Biala - Stal Stalowa Wola,II Liga,08/08 12:00,Betano,2.87,3.2,2.32,0.318,0.282,0.400,2.5,1.83,1.78,,0.492,0.508,,0.5,1.4,2.52,,0.669,0.331,,,1.57,1.3,1.4,0.233,0.429,0.338,,2.0,1.65,,0.444,0.556,,,1.65,1.98,,0.554,0.446,
Podhale Nowy Targ - Hutnik Krakow,II Liga,08/08 08:00,Betano,1.93,3.4,3.55,0.487,0.262,0.250,2.5,1.8,1.8,,0.500,0.500,,0.5,1.38,2.57,,0.679,0.321,,,1.25,1.27,1.82,0.453,0.428,0.119,,1.42,2.47,,0.659,0.341,,,1.67,1.95,,0.546,0.454,
Elana Torun - Gedania Gdansk,III Liga,08/08 08:00,Betano,2.3,3.45,2.62,0.399,0.255,0.346,3.5,2.2,1.52,,0.392,0.608,,1.5,2.15,1.5,,0.391,0.609,,,1.39,1.26,1.5,0.315,0.444,0.241,,1.7,1.93,,0.537,0.463,,,,,,,,
KS CK Troszyn - MKS Mazovia,III Liga,08/08 08:00,Betano,2.35,3.4,2.55,0.388,0.258,0.354,2.5,1.62,2.02,,0.565,0.435,,1.5,2.3,1.44,,0.360,0.640,,,1.42,1.26,1.47,0.294,0.446,0.260,,1.75,1.87,,0.519,0.481,,,,,,,,
MKS Kluczbork - KS Polkowice,III Liga,08/08 12:00,Betano,2.4,3.5,2.47,0.380,0.251,0.369,2.5,1.53,2.18,,0.604,0.396,,1.5,2.18,1.5,,0.389,0.611,,,1.44,1.26,1.47,0.284,0.451,0.265,,1.78,1.82,,0.507,0.493,,,,,,,,
Swit Nowy Dwor Mazowiecki - Olimpia Zambrow,III Liga,08/08 10:00,Betano,1.65,3.75,4.25,0.572,0.229,0.199,2.5,1.53,2.2,,0.606,0.394,,1.5,2.15,1.5,,0.391,0.609,,,1.19,1.22,2.02,0.495,0.447,0.058,,1.27,3.1,,0.748,0.252,,,,,,,,
Pogon Sokol Lubaczow - KS Moravia Morawica,III Liga,08/08 11:00,Betano,1.6,3.95,4.4,0.592,0.216,0.192,2.5,1.53,2.2,,0.606,0.394,,1.5,2.15,1.5,,0.391,0.609,,,1.17,1.2,2.1,0.506,0.454,0.040,,1.25,3.2,,0.760,0.240,,,,,,,,
BKS Sparta Katowice - Stilon Gorzow Wielkopolski,III Liga,08/08 07:00,Betano,1.53,3.85,5.1,0.620,0.220,0.160,2.5,1.6,2.05,,0.573,0.427,,1.5,2.27,1.45,,0.366,0.634,,,1.14,1.21,2.2,0.551,0.421,0.028,,1.21,3.55,,0.790,0.210,,,,,,,,
Warta Gorzow Wielkopolski - Carina Gubin,III Liga,08/08 09:00,Betano,2.12,3.4,2.92,0.436,0.258,0.306,2.5,1.75,1.85,,0.516,0.484,,1.5,2.47,1.38,,0.328,0.672,,,1.33,1.26,1.57,0.362,0.438,0.200,,1.57,2.12,,0.588,0.412,,,,,,,,
LKS Lomza - KTS Weszlo,III Liga,08/08 12:00,Betano,2.02,3.6,2.95,0.458,0.241,0.301,2.5,1.57,2.1,,0.585,0.415,,1.5,2.22,1.47,,0.376,0.624,,,1.33,1.24,1.65,0.364,0.467,0.170,,1.53,2.18,,0.604,0.396,,,,,,,,
WDA Swiecie - KS Lipno Steszew,III Liga,08/08 12:00,Betano,2.05,3.55,2.95,0.452,0.246,0.302,2.5,1.62,2.02,,0.565,0.435,,1.5,2.3,1.44,,0.360,0.640,,,1.32,1.25,1.62,0.371,0.451,0.178,,1.53,2.18,,0.604,0.396,,,,,,,,
Siarka Tarnobrzeg - Czarni Polaniec,III Liga,08/08 12:00,Betano,2.32,3.5,2.55,0.394,0.250,0.355,2.5,1.53,2.18,,0.604,0.396,,1.5,2.18,1.5,,0.389,0.611,,,1.42,1.26,1.5,0.300,0.452,0.248,,1.72,1.88,,0.526,0.474,,,,,,,,
ZKS Kluczevia Stargard - KP Blekitni Stargart Szczecinski,III Liga,08/08 12:00,Betano,2.07,3.5,2.92,0.446,0.249,0.305,2.5,1.57,2.1,,0.585,0.415,,1.5,2.22,1.47,,0.376,0.624,,,1.33,1.25,1.6,0.362,0.451,0.187,,1.55,2.15,,0.596,0.404,,,,,,,,
KS Wisloka Debica - JKS 1909 Jaroslaw,III Liga,08/08 14:08,Betano,2.02,3.4,3.1,0.458,0.257,0.285,2.5,1.7,1.93,,0.537,0.463,,1.5,2.37,1.42,,0.348,0.652,,,1.3,1.27,1.62,0.393,0.427,0.180,,1.5,2.25,,0.618,0.382,,,,,,,,
Drama Zbroslawice - Lgks Podlesianka Katowice,IV Liga,08/08 06:00,Betano,2.52,3.65,2.27,0.359,0.238,0.403,3.5,2.12,1.57,,0.412,0.588,,1.5,2.1,1.53,,0.405,0.595,,,1.5,1.24,1.42,0.240,0.469,0.291,,1.88,1.72,,0.474,0.526,,,,,,,,
Ursus Warszawa - MKS Piaseczno,IV Liga,08/08 06:00,Betano,2.02,3.95,2.77,0.459,0.218,0.323,3.5,1.83,1.78,,0.492,0.508,,1.5,1.88,1.67,,0.464,0.536,,,1.36,1.21,1.65,0.331,0.504,0.165,,1.57,2.1,,0.585,0.415,,,,,,,,
Gzs Tluchovia Tluchowo - Pogon Mogilno,IV Liga,08/08 08:00,Betano,2.12,3.5,2.8,0.434,0.248,0.318,2.5,1.53,2.2,,0.606,0.394,,1.5,2.15,1.5,,0.391,0.609,,,1.35,1.25,1.57,0.345,0.453,0.202,,1.6,2.07,,0.575,0.425,,,,,,,,
Stolem Gniewino - KP Starogard Gdanski,IV Liga,08/08 10:30,Betano,2.72,3.75,2.1,0.330,0.231,0.439,3.5,2.02,1.62,,0.435,0.565,,1.5,2.02,1.57,,0.424,0.576,,,1.6,1.23,1.37,0.190,0.481,0.329,,2.05,1.62,,0.432,0.568,,,,,,,,
Hutnik Warszawa - Blonianka Blonie,IV Liga,08/08 12:00,Betano,1.5,4.35,4.75,0.634,0.192,0.174,3.5,2.02,1.62,,0.435,0.565,,1.5,2.02,1.57,,0.424,0.576,,,1.15,1.17,2.3,0.511,0.471,0.018,,1.21,3.5,,0.789,0.211,,,,,,,,
Honiara City - Malaita Kingz F.C,S-League,08/08 01:00,Betano,2.32,3.55,2.52,0.394,0.246,0.360,3.5,2.02,1.62,,0.435,0.565,,1.5,2.02,1.57,,0.424,0.576,,,1.42,1.25,1.5,0.295,0.460,0.244,,1.72,1.88,,0.526,0.474,,,,,,,,
FK Teplice - FC Viktoria Plzen,1. liga,08/08 12:00,Betano,4.2,3.55,1.78,0.211,0.253,0.535,2.5,1.93,1.88,,0.493,0.507,,0.5,1.42,2.8,,0.679,0.321,,,2.05,1.27,1.23,0.081,0.434,0.485,,3.1,1.34,,0.280,0.720,,,1.82,1.93,,0.516,0.484,
FC Zlin - Bohemians Praga,1. liga,08/08 12:00,Betano,2.55,3.15,2.67,0.364,0.290,0.346,2.5,2.05,1.78,,0.462,0.538,,0.5,1.47,2.65,,0.656,0.344,,,1.47,1.32,1.52,0.303,0.423,0.273,,1.83,1.91,,0.512,0.488,,,1.75,2.0,,0.537,0.463,
FK Mlada Boleslav - AC Sparta Praga,1. liga,08/08 15:00,Betano,4.25,3.75,1.72,0.208,0.238,0.555,3.5,2.32,1.62,,0.405,0.595,,1.5,2.3,1.6,,0.402,0.598,,,2.1,1.25,1.23,0.071,0.451,0.478,,3.15,1.33,,0.275,0.725,,,1.52,2.42,,0.627,0.373,
FK Blansko - Hodonin,3. liga,08/08 05:30,Betano,2.67,3.25,2.12,0.322,0.257,0.421,2.5,1.55,2.15,,0.596,0.404,,1.5,2.18,1.5,,0.389,0.611,,,1.55,1.26,1.36,0.215,0.445,0.340,,2.02,1.62,,0.435,0.565,,,,,,,,
FC Vitkovice - MFk Havirov,3. liga,08/08 12:00,Betano,2.05,3.3,2.8,0.439,0.254,0.307,2.5,1.55,2.15,,0.596,0.404,,1.5,2.18,1.5,,0.389,0.611,,,1.33,1.26,1.6,0.366,0.443,0.191,,1.57,2.12,,0.588,0.412,,,,,,,,
SK Benesov - SK Aritma Praha,3. liga,08/08 05:15,Betano,2.07,3.3,2.75,0.434,0.254,0.313,2.5,1.55,2.15,,0.596,0.404,,1.5,2.2,1.47,,0.378,0.622,,,1.34,1.26,1.57,0.355,0.442,0.203,,1.6,2.07,,0.575,0.425,,,,,,,,
Povltava FA - FC Pisek,3. liga,08/08 05:15,Betano,3.6,3.45,1.72,0.227,0.239,0.534,2.5,1.53,2.18,,0.604,0.396,,1.5,2.18,1.5,,0.389,0.611,,,1.87,1.24,1.22,0.092,0.440,0.468,,2.72,1.34,,0.298,0.702,,,,,,,,
Vratimov - Jiskra Rymarov,4. liga,08/08 05:15,Betano,1.57,3.55,4.0,0.585,0.222,0.193,3.5,1.95,1.67,,0.454,0.546,,1.5,2.0,1.6,,0.433,0.567,,,1.18,1.21,2.05,0.500,0.450,0.050,,1.26,3.15,,0.754,0.246,,,,,,,,
FC Kurim - Chotebor,4. liga,08/08 05:15,Betano,1.42,4.4,5.5,0.671,0.185,0.144,3.5,2.15,1.55,,0.404,0.596,,1.5,2.1,1.53,,0.405,0.595,,,1.13,1.17,2.45,0.538,0.451,0.011,,1.17,3.9,,0.820,0.180,,,,,,,,
SK Steti - Slovan Velvary,4. liga,08/08 05:15,Betano,1.62,4.0,4.15,0.583,0.213,0.204,3.5,1.93,1.7,,0.463,0.537,,1.5,1.95,1.62,,0.444,0.556,,,1.19,1.2,2.05,0.483,0.467,0.050,,1.28,3.05,,0.741,0.259,,,,,,,,
FK Slavoj Cesky Krumlov - Spartak Sobeslav,4. liga,08/08 05:15,Betano,2.67,3.4,2.27,0.338,0.258,0.404,3.5,1.98,1.65,,0.446,0.554,,1.5,2.0,1.6,,0.433,0.567,,,1.52,1.27,1.38,0.235,0.437,0.328,,1.95,1.67,,0.454,0.546,,,,,,,,
FC Sparta Brno - FS Trebic,4. liga,08/08 05:30,Betano,1.75,4.05,3.4,0.535,0.210,0.255,3.5,1.95,1.67,,0.454,0.546,,1.5,1.98,1.6,,0.436,0.564,,,1.26,1.21,1.85,0.417,0.486,0.097,,1.39,2.57,,0.675,0.325,,,,,,,,
Prepere - SK Kosmonosy,4. liga,08/08 05:30,Betano,1.6,3.45,3.9,0.572,0.230,0.198,3.5,1.95,1.67,,0.454,0.546,,1.5,1.98,1.6,,0.436,0.564,,,1.19,1.22,2.0,0.494,0.446,0.060,,1.28,3.05,,0.741,0.259,,,,,,,,
Spartak Hluk - FC Strani,4. liga,08/08 11:30,Betano,3.15,3.35,1.8,0.259,0.241,0.500,3.5,1.95,1.67,,0.454,0.546,,1.5,1.98,1.6,,0.436,0.564,,,1.75,1.24,1.26,0.125,0.450,0.424,,2.47,1.42,,0.341,0.659,,,,,,,,
SK Krumvir - SK Batov 1930,4. liga,08/08 11:30,Betano,1.78,3.55,3.1,0.508,0.226,0.265,2.5,1.52,2.2,,0.608,0.392,,1.5,2.15,1.5,,0.391,0.609,,,1.27,1.22,1.78,0.409,0.475,0.116,,1.42,2.47,,0.659,0.341,,,,,,,,
FC Dosta Bystrc Kninicky - Zdar Nad Sazavou,4. liga,08/08 11:30,Betano,2.4,3.55,2.45,0.381,0.247,0.372,3.5,2.2,1.52,,0.392,0.608,,1.5,2.12,1.52,,0.400,0.600,,,1.44,1.25,1.47,0.280,0.459,0.261,,1.78,1.82,,0.507,0.493,,,,,,,,
TJ Sokol Bedrichov - 1 SC Znojmo FK,4. liga,08/08 11:30,Betano,4.3,3.8,1.62,0.195,0.224,0.582,3.5,2.2,1.53,,0.394,0.606,,1.5,2.12,1.52,,0.400,0.600,,,2.02,1.22,1.18,0.055,0.440,0.505,,3.1,1.27,,0.252,0.748,,,,,,,,
MSK Breclav - Sternberk,4. liga,08/08 12:00,Betano,1.91,3.25,2.95,0.468,0.251,0.281,2.5,1.55,2.15,,0.596,0.404,,1.5,2.2,1.47,,0.378,0.622,,,1.29,1.25,1.67,0.398,0.446,0.156,,1.5,2.27,,0.620,0.380,,,,,,,,
FK Ostrov - Tempo Prague,4. liga,08/08 12:00,Betano,2.37,3.4,2.52,0.384,0.257,0.359,3.5,2.2,1.53,,0.394,0.606,,1.5,2.12,1.52,,0.400,0.600,,,1.42,1.26,1.47,0.294,0.446,0.260,,1.75,1.85,,0.516,0.484,,,,,,,,
Trutnov - Spartak Police Nad Metuji,4. liga,08/08 12:00,Betano,2.18,3.3,2.45,0.402,0.247,0.351,3.5,2.2,1.53,,0.394,0.606,,1.5,2.12,1.52,,0.400,0.600,,,1.4,1.25,1.52,0.309,0.459,0.232,,1.7,1.91,,0.534,0.466,,,,,,,,
SK Slany - SK Ujezd Praha IV,4. liga,08/08 12:00,Betano,2.07,3.7,2.77,0.445,0.233,0.322,3.5,1.95,1.67,,0.454,0.546,,1.5,1.98,1.6,,0.436,0.564,,,1.37,1.23,1.6,0.329,0.481,0.190,,1.6,2.07,,0.575,0.425,,,,,,,,
SK Horovice - Hluboka,4. liga,08/08 12:00,Betano,2.85,3.75,2.02,0.312,0.230,0.458,3.5,2.22,1.52,,0.390,0.610,,1.5,2.15,1.5,,0.391,0.609,,,1.62,1.23,1.34,0.176,0.475,0.349,,2.15,1.55,,0.404,0.596,,,,,,,,
FC Pencin - Zelezny Brod,Krajsky prebor,08/08 09:00,Betano,1.17,6.6,9.75,0.829,0.105,0.066,4.5,2.12,1.57,,0.412,0.588,,1.5,1.67,1.9,,0.539,0.461,,,1.05,1.08,3.35,0.578,0.422,0.000,,1.05,6.2,,0.931,0.069,,,,,,,,
FK Dobrovice - Cesky Brod,Krajsky prebor,08/08 12:00,Betano,1.42,4.55,5.4,0.672,0.180,0.148,3.5,2.02,1.62,,0.435,0.565,,1.5,2.02,1.57,,0.424,0.576,,,1.13,1.16,2.47,0.529,0.462,0.009,,1.17,3.9,,0.820,0.180,,,,,,,,
Slusovice - FK Luhacovice,Krajsky prebor,08/08 12:00,Betano,1.5,4.3,4.65,0.632,0.192,0.176,3.5,2.02,1.62,,0.435,0.565,,1.5,2.02,1.57,,0.424,0.576,,,1.16,1.18,2.25,0.507,0.469,0.024,,1.22,3.4,,0.781,0.219,,,,,,,,
Stare Mesto - Tj Osvetimany,Krajsky prebor,08/08 12:00,Betano,2.12,3.85,2.65,0.435,0.225,0.340,3.5,2.02,1.62,,0.435,0.565,,1.5,2.02,1.57,,0.424,0.576,,,1.38,1.22,1.57,0.314,0.489,0.197,,1.62,2.02,,0.565,0.435,,,,,,,,
Farul Constanta - FK Csikszereda Miercurea Ciuc,Liga 1,08/08 12:30,Betano,1.5,4.15,5.8,0.642,0.211,0.147,2.5,1.72,2.15,,0.559,0.441,,1.5,2.55,1.5,,0.359,0.641,,,1.15,1.21,2.6,0.546,0.438,0.016,,1.19,4.3,,0.817,0.183,,,1.82,1.93,,0.516,0.484,
Dínamo Bucareste - FC Voluntari,Liga 1,08/08 15:30,Betano,1.53,4.1,5.4,0.628,0.214,0.158,2.5,1.8,2.02,,0.531,0.469,,1.5,2.67,1.45,,0.337,0.663,,,1.16,1.21,2.5,0.533,0.446,0.021,,1.22,4.0,,0.796,0.204,,,1.88,1.85,,0.496,0.504,
AFC Metalul Buzau - CS Afumati,Liga 2,08/08 05:00,Betano,1.75,3.5,4.45,0.545,0.257,0.198,2.5,1.87,1.85,,0.497,0.503,,1.5,2.65,1.42,,0.329,0.671,,,1.21,1.27,2.05,0.503,0.422,0.075,,1.31,3.15,,0.733,0.267,,,1.78,1.93,,0.523,0.477,
AFC ASA Targu Mures - Cetatea Suceava,Liga 2,08/08 05:00,Betano,1.37,4.65,7.5,0.707,0.184,0.109,2.5,1.57,2.25,,0.600,0.400,,1.5,2.35,1.53,,0.381,0.619,,,1.1,1.17,3.1,0.585,0.413,0.002,,1.12,5.3,,0.870,0.130,,,1.83,1.87,,0.506,0.494,
CS Concordia Chiajna - FC Bihor Oradea,Liga 2,08/08 05:00,Betano,2.45,3.15,2.82,0.381,0.291,0.328,2.5,1.93,1.78,,0.477,0.523,,0.5,1.44,2.6,,0.661,0.339,,,1.44,1.32,1.55,0.322,0.422,0.256,,1.72,2.0,,0.542,0.458,,,1.7,2.02,,0.549,0.451,
Steaua Bucuresti - SCM Ramnicu Valcea,Liga 2,08/08 05:00,Betano,1.57,3.9,5.3,0.611,0.227,0.162,2.5,1.78,1.93,,0.523,0.477,,1.5,2.65,1.42,,0.329,0.671,,,1.17,1.23,2.37,0.533,0.436,0.031,,1.23,3.75,,0.786,0.214,,,1.83,1.87,,0.506,0.494,
