confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Consadole Sapporo - Tokushima Vortis,J2 League,08/08 02:45,Betano,2.57,3.15,2.62,0.360,0.288,0.352,2.5,2.12,1.65,,0.430,0.570,,0.5,1.5,2.42,,0.632,0.368,,,1.47,1.32,1.5,0.299,0.419,0.281,,1.83,1.87,,0.506,0.494,,,1.85,1.85,,0.500,0.500,
Fujieda MYFC - Vegalta Sendai,J2 League,08/08 06:30,Betano,3.35,3.3,2.05,0.269,0.273,0.458,2.5,2.07,1.67,,0.440,0.560,,0.5,1.47,2.52,,0.648,0.352,,,1.75,1.29,1.32,0.161,0.435,0.404,,2.4,1.5,,0.369,0.631,,,1.88,1.82,,0.491,0.509,
Vanraure Hachinohe FC - Kataller Toyama,J2 League,08/08 06:30,Betano,2.77,3.1,2.45,0.330,0.292,0.377,2.5,2.07,1.67,,0.440,0.560,,0.5,1.47,2.5,,0.646,0.354,,,1.53,1.32,1.44,0.263,0.418,0.318,,1.98,1.75,,0.465,0.535,,,1.82,1.88,,0.509,0.491,
Jubilo Iwata - Blaublitz Akita,J2 League,08/08 07:00,Betano,2.42,3.1,2.85,0.384,0.294,0.322,2.5,2.1,1.65,,0.432,0.568,,0.5,1.5,2.42,,0.632,0.368,,,1.42,1.33,1.55,0.335,0.411,0.255,,1.72,2.0,,0.542,0.458,,,1.83,1.88,,0.508,0.492,
Oita Trinita - Shonan Bellmare,J2 League,08/08 07:00,Betano,2.87,3.05,2.4,0.317,0.297,0.386,2.5,2.3,1.55,,0.390,0.610,,0.5,1.53,2.32,,0.616,0.384,,,1.55,1.33,1.42,0.255,0.411,0.335,,2.02,1.7,,0.451,0.549,,,2.0,1.72,,0.458,0.542,
Omiya Ardija - Albirex Niigata,J2 League,08/08 07:00,Betano,2.22,3.25,3.0,0.420,0.277,0.303,2.5,1.9,1.8,,0.485,0.515,,0.5,1.42,2.65,,0.671,0.329,,,1.38,1.3,1.65,0.360,0.435,0.204,,1.62,2.15,,0.579,0.421,,,1.72,2.0,,0.542,0.458,
Tegevajaro Miyazaki - Yokohama FC,J2 League,08/08 07:00,Betano,2.45,3.15,2.75,0.378,0.288,0.334,2.5,2.0,1.72,,0.458,0.542,,0.5,1.45,2.55,,0.655,0.345,,,1.44,1.32,1.53,0.318,0.418,0.263,,1.75,1.95,,0.531,0.469,,,1.78,1.93,,0.523,0.477,
Sagan Tosu - Ventforet Kofu,J2 League,08/08 07:30,Betano,2.07,3.05,3.55,0.452,0.296,0.251,2.5,2.22,1.6,,0.409,0.591,,0.5,1.53,2.35,,0.619,0.381,,,1.29,1.33,1.72,0.436,0.394,0.170,,1.47,2.5,,0.646,0.354,,,1.93,1.78,,0.477,0.523,
Nagano Parceiro - Renofa Yamaguchi,J3 League,08/08 06:00,Betano,3.4,3.25,2.1,0.268,0.282,0.450,2.5,2.15,1.62,,0.421,0.579,,0.5,1.5,2.42,,0.632,0.368,,,1.75,1.31,1.32,0.167,0.422,0.411,,2.4,1.5,,0.369,0.631,,,1.93,1.78,,0.477,0.523,
Sagamihara - Roasso Kumamoto,J3 League,08/08 06:00,Betano,2.32,3.35,2.87,0.405,0.273,0.322,2.5,1.7,2.02,,0.549,0.451,,1.5,2.52,1.47,,0.352,0.648,,,1.42,1.29,1.6,0.329,0.446,0.225,,1.67,2.07,,0.560,0.440,,,1.57,2.25,,0.600,0.400,
