confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Náutico - Atlético-GO,Brasileirão - Série B,09/08 16:00,Betano,2.45,3.2,2.92,0.386,0.292,0.322,2.5,2.05,1.72,,0.453,0.547,,0.5,1.47,2.55,,0.644,0.356,,,1.42,1.33,1.57,0.338,0.376,0.286,,1.72,2.05,,0.547,0.453,,,1.78,1.93,,0.522,0.478,
Grêmio Novorizontino - Juventude-RS,Brasileirão - Série B,09/08 16:00,Betano,2.02,3.05,4.2,0.473,0.308,0.220,1.5,1.5,2.45,,0.629,0.371,,0.5,1.6,2.25,,0.590,0.410,,,1.25,1.35,1.83,0.415,0.366,0.219,,1.4,2.8,,0.679,0.321,,,2.12,1.65,,0.433,0.567,
Cuiabá - Fortaleza,Brasileirão - Série B,09/08 18:00,Betano,2.45,2.95,3.2,0.387,0.319,0.293,1.5,1.57,2.3,,0.601,0.399,,0.5,1.65,2.15,,0.570,0.430,,,1.37,1.38,1.57,0.359,0.355,0.286,,1.65,2.15,,0.570,0.430,,,2.18,1.6,,0.417,0.583,
Moreirense FC - SC Braga,Primeira Liga,09/08 16:30,Betano,5.7,3.85,1.62,0.160,0.243,0.596,2.5,1.98,1.85,,0.482,0.518,,0.5,1.44,2.75,,0.665,0.335,,,2.32,1.25,1.16,0.138,0.405,0.457,,3.85,1.23,,0.223,0.777,,,1.93,1.8,,0.481,0.519,
Gil Vicente FC - Rio Ave FC,Primeira Liga,09/08 16:30,Betano,2.05,3.4,3.8,0.471,0.280,0.249,2.5,2.0,1.82,,0.475,0.525,,0.5,1.47,2.65,,0.651,0.349,,,1.29,1.3,1.82,0.392,0.388,0.220,,1.45,2.6,,0.653,0.347,,,1.8,1.95,,0.521,0.479,
Ypiranga-RS - Floresta,Brasileirão - Série C,09/08 16:00,Betano,1.98,3.05,4.05,0.476,0.302,0.223,1.5,1.52,2.37,,0.618,0.382,,0.5,1.6,2.2,,0.585,0.415,,,1.25,1.33,1.82,0.410,0.371,0.218,,1.4,2.75,,0.675,0.325,,,2.18,1.62,,0.421,0.579,
Maranhao MA - Brusque SC,Brasileirão - Série C,09/08 18:30,Betano,2.55,2.7,3.15,0.365,0.344,0.292,2.5,2.25,1.57,,0.404,0.596,,0.5,1.57,2.27,,0.598,0.402,,,1.36,1.4,1.52,0.359,0.342,0.299,,1.67,2.07,,0.558,0.442,,,1.82,1.9,,0.512,0.488,
AO de Itabaiana SE - Caxias,Brasileirão - Série C,09/08 18:30,Betano,2.67,2.87,2.8,0.348,0.322,0.330,1.5,1.52,2.35,,0.616,0.384,,0.5,1.6,2.18,,0.583,0.417,,,1.44,1.37,1.47,0.328,0.356,0.317,,1.82,1.9,,0.512,0.488,,,2.07,1.67,,0.442,0.558,
Maringa FC PR - Amazonas AM,Brasileirão - Série C,09/08 16:00,Betano,1.6,3.75,5.3,0.593,0.242,0.165,2.5,1.85,1.85,,0.500,0.500,,0.5,1.42,2.67,,0.665,0.335,,,1.16,1.24,2.32,0.455,0.408,0.137,,1.23,3.75,,0.773,0.227,,,1.88,1.83,,0.493,0.507,
Noroeste SP - XV de Piracicaba,Copa Paulista,09/08 10:00,Betano,2.5,2.92,2.87,0.369,0.313,0.318,1.5,1.47,2.32,,0.625,0.375,,0.5,1.55,2.15,,0.590,0.410,,,1.35,1.34,1.5,0.351,0.355,0.294,,1.7,1.91,,0.532,0.468,,,2.02,1.62,,0.439,0.561,
